shipment-date	sku	fnsku	asin	fulfillment-center-id	quantity	amazon-order-id	currency	item-price-per-unit	shipping-price	gift-wrap-price	ship-city	ship-state	ship-postal-code
2026-03-18T23:31:06+00:00	hp_notebook_single	X00158AITP	B01HU696MY	[REDACTED]	1	sample-702082827421710049d5	USD	18.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-18T23:31:06+00:00	hp_notebook_single	X00158AITP	B01HU696MY	[REDACTED]	1	sample-702082827421710049d5	USD	18.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-18T22:22:54+00:00	hp_notebook_3pack	X00157PZ03	B01HU698P4	[REDACTED]	1	sample-0756149a7406733b1777	USD	46.99	6.11	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-18T21:11:25+00:00	hp_notebook_single	X00158AITP	B01HU696MY	[REDACTED]	1	sample-fd426676ffa6bb9e1d6c	USD	18.99	1.50	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-18T11:33:23+00:00	obgyn_notebook_tall_single	X004WX02FZ	B0G278VBML	[REDACTED]	1	sample-401eea9f32d678c5d9f0	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-16T07:08:03+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-c1715a507a3174a95f5c	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-13T22:10:06+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-15d67c0a915ef08e9a8e	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-13T05:49:24+00:00	pediatrics_notebook_single	X001FTRKEP	B071FXQN1R	[REDACTED]	1	sample-bd17703ad08ac665862b	USD	20.99	2.99	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T22:47:48+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-81c8d7f03554b8377575	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T21:22:52+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-21bfaae4ad2b851c7874	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T17:18:10+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-bdacf678410b2a235016	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T17:17:23+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-ebb292dfc9fac8682152	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T15:48:38+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-49604b815747f54f2e96	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T15:48:33+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-30ebbfa9cb8f5ddcf70b	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T09:19:48+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-d85e306c741c190ce3dc	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:03:13+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-a2bcdf15242615a7129f	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:02:47+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-059d659afee4d783e3ce	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:02:41+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-cb92e1b5c9b336926cee	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:02:32+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-103bcff03580aaad597c	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:02:30+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-a3f0c41ad825d74031dc	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T08:02:27+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-4817cc3f72756687e4da	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T06:41:41+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-e26857ff2dce298cf008	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
2026-03-12T06:16:43+00:00	hp_notepad_2pack	X004WX28LV	B0GNZQ147T	[REDACTED]	1	sample-dac86c2c352a185922a9	USD	19.99	0.00	0.00	[REDACTED]	[REDACTED]	[REDACTED]
